content,category,example1,example2,example3,source,ans
지혜의 왕으로 알려져 있으며 현명한 선택을 ‘이 사람’의 선택이라고도 한다. ‘이 사람’은 누구 일까?,객관식,솔로몬,제우스,트럼프,잼라이브 쏠(sol)특집,솔로몬
MVP는 무엇의 약자일까?,객관식,Most victorious Player,Most Vital Player,Most Valuable Player,잼라이브 쏠(sol)특집,Most Valuable Player
호주에는 []을/를 모는 []카우보이가 있다,객관식,악어,거북이,참치,잼라이브 쏠(sol)특집,참치
작고 동그란 모양의 디저트 ‘마카롱’의 어원은?,객관식,반질반질하다,두드리다,동그랗다,잼라이브 쏠(sol)특집,두드리다
조선시대에는 []가 넘은 사람에게 신분에 상관없이 노인직이란 벼슬을 내렸다.,객관식,60세,70세,80세,잼라이브 쏠(sol)특집,80세
역대 월드컵 한국 대표팀 감독이 바르게 연결된 것은?,객관식,1986년 멕시코 월드컵-이회택,1990년 이탈리아 월드텁-김호,2006년 독일 월드컵-아드보가트,잼라이브 올리브영 특집,2006년 독일 월드컵-아드보가트
‘천여 명’을 정확히 표현한 것은?,객관식,천 명이 모자람,천 명이 넘은,둘 다 맞음,잼라이브 올리브영 특집,천 명이 넘은
여가뿐 아니라 출퇴근 업무에 두루 사용할 수 있는 다목적 차량 ‘RV’의 R은 무엇을 의미할까?,객관식,레저,릭랙스,레크리에이션,잼라이브 올리브영 특집,레크리에이션
친형제 자매는 몇 촌 일까?,객관식,무촌,1촌,2촌,잼라이브 올리브영 특집,2촌
배우 정우성이 영화 속에서 한 대사가 아닌 것은?,객관식,이거 마시면 우리 사귀는 거다,잘생긴 게 최고야 짜릿해,나에겐 꿈이 없었다,잼라이브 올리브영 특집,잘생긴 게 최고야 짜릿해
다음 중 영국 연방 국가가 아닌 곳은?,객관식,아일랜드,뉴질랜드,캐나다,잼라이브 올리브영 특집,아일랜드
아이스 버킷 챌린지는 어떤 병에 걸린 환우를 돕기 위해 진행되는 행사인가?,객관식,심장병,루게릭병,폐암,잼라이브 올리브영 특집,루게릭병
잼아저씨는 []하는 스타들을 인터뷰한다. []안에 알맞은 말은?,객관식,내로라,내노나,내노라,잼라이브 올리브영 특집,내로라
국내외 경기의 흐름과 전망을 알 수 있게 해주는 것은?,객관식,정글북,동네북,그린북,잼라이브 올리브영 특집,그린북
다음 중 콩을 재료로 사용하지 않는 것은?,객관식,시나몬,간장,고추장,잼라이브 올리브영 특집,시나몬
음악의 템포를 올바르고 규칙적으로 나타내는 기계의 이름은?,객관식,이상한놈,그때그놈,메트로놈,잼라이브 올리브영 특집,메트로놈
흥부에게 박씨를 가져다준 새의 종류는?,객관식,제비,갈매기,까치,잼라이브 올리브영 특집,제비
다음 중 영문 철자가 다른 하나는?,객관식,치과에서 '브릿지' 치료를 받다,미용실에서 '브릿지' 염색을 하다,필라테스 시간에 배운 '브릿지'자세,잼라이브 올리브영 특집,미용실에서 '브릿지' 염색을 하다
다음 중 신체 부위와 관련이 없는 단어는?,객관식,곡뒤,비견,오지랖,잼라이브 올리브영 특집,오지랖
모든 면이 똑같은 모양으로 둘러싸인 정다면체가 아닌 것은/,객관식,정사면체,정팔면체,정십육면체,잼라이브 올리브영 특집,정십육면체
서울 최초의 커피점(다방)은?,객관식,서울답아,정동구락부,손탁코오-피,잼라이브 올리브영 특집,정동구락부
프랑스어로 '나비'를 뜻하며 커다란 귀에서 이름이 유래한 견종은?,객관식,정동구락부,비숑 프리제,치와와,잼라이브 올리브영 특집,정동구락부
상품의 ㅣ개봉 과정을 보여주는 영상 콘텐츠를 뜻하는 신조어는?,객관식,하울,루틴,ASMR,잼라이브 올리브영 특집,하울
세계에서 흙돼지가 제일 많이 분포한 지역은?,객관식,아프리카,몽골,대한민국 제주도,잼라이브 올리브영 특집,대한민국 제주도
<셜럭 홈즈 코난 김전일> 공통점으로 알맞은 것은?,객관식,꽁지머리가 트레이드 마크다,탐정이다,실존 했던 인물이다,잼라이브 올리브영 특집,탐정이다
자산이 속한 부서의 이익만을 추구하는 부서 이기주의를 뜻하는 용어는?,객관식,링겔만 효과,메디치 효과,사일로 효과,잼라이브 4월 28일,사일로 효과
창업자가 설립 초기 지인들에게 투자받는 사업 자금을 일컫는 말은?,객관식,헬프머니,엔젤머니,러브머니,잼라이브 4월 28일,러브머니
측우기를 발명한 사람은?,객관식,문종,장영실,세종대왕,잼라이브 4월 28일,문종
선박의 속력단위는?,객관식,노트,웨이브,윈드,잼라이브 4월 28일,노트
추석설날단오와 함께 우리나라 4대 명절에 해당하는 이 날은?,객관식,동지,정월 대보름,한식,잼라이브 4월 28일,한식
중국의 대표 보양식 '불도장'의 뜻은?,객관식,스님이 담을 뛰어넘는다.,뜨거워진 몸을 다스린다.,재료의 평범함을 거부한다.,잼라이브 4월 28일,스님이 담을 뛰어넘는다.
동물과 울음소리의 영어 표현이 알맞게 짝 지어지지 않은 것은?,객관식,horse-heigh,shoop-baa,pig-oink,잼라이브 4월 28일,horse-heigh
화산 활동과 관계 없는 것은 무엇일까?,객관식,칼데라,갯벌,현무암,잼라이브 4월 28일,갯벌
인터넷 사용자가 특정 홈페이지에 접속할 때 생성되는 임시 파일은?,객관식,쿠키,초코,캔디,잼라이브 4월 28일,쿠키
소설<운수 좋은 날>의 저자는?,객관식,현진건,한용운,김소월,잼라이브 4월 28일,현진건
다음 중 바느질 방법의 종류가 아닌 것은?,객관식,휘갑치기,홈그리기,새발뜨기,잼라이브 4월 28일,홈그리기
어떤 일에 15분 이상 집중하기 힘든 현상르 뜻하는 말은?,객관식,레이니즘,에어리즘,쿼터리즘,잼라이브 4월 28일,쿼터리즘
식품류 양갱에서 '양'이 뜻하는 의미는?,객관식,동물 양,양쪽 모두,서양에서 온,잼라이브 5월 9일,동물 양
메모장을 실행하고 키보드의 ()을/를 누르면 현재 날짜와 시간이 나타난다/,객관식,f1,f3,f5,잼라이브 5월 9일,f5
지옥에 간 목사'라는 꽃말을 가진 식물은?,객관식,아니나무,아라나무,아왜나무,잼라이브 5월 9일,아왜나무
대법원 통계 기준으로 2017년에 태어난 여자 아이의 이름으로 가장 많이 사용된 것은?,객관식,하윤,서연,지우,잼라이브 5월 9일,하윤
다음 중 표준어가 아닌 것은?,객관식,깜장,검정색,검은색,잼라이브 5월 9일,검정색
다음 보기 중 가장 먼저 출시된 아이스크림은?,객관식,비비빅,서주아이스,옛날아맛나,잼라이브 5월 9일,옛날아맛나
고흥.순천.여수 등으로 둘러싸인 곳으로 '일출일몰꼬막' 등이 유명한 곳은?,객관식,여자만,남자만,여순만,잼라이브 5월 9일,여자만
우리나라에 가장 많은 매장 수를 둔 패스트푸드 브랜드는?,객관식,버거킹,맥도날드,롯데리아,잼라이브 5월 9일,롯데리아
화분에 심은 풀이나 나무 따위를 다른 화분으로 옮겨 심는 것은,객관식,분갈이 ,분풀이,갈갈이,잼라이브 5월 9일,분갈이 
말이나 태도 따위가 흐려 분명하지 않음'을 뜻하는 사자 성어는?,객관식,알쏭달쏭,어장관리,애매모호,잼라이브 5월 9일,애매모호
4가지로 구별되는 맛을 느끼는 감각인 '미각'에 포함되지 않는 맛은?,객관식,단맛,매운맛,쓴맛,잼라이브,매운맛
대한민국의 월드컵 역대 최고 순위는?,객관식,3위,3위,16위,잼라이브,4위
게임'디아블로2'의 정식 버전에서 가장 높은 레벨은 몇일까?,객관식,99레벨,275레벨,2000레벨,잼라이브,99레벨
다음 중 존재하지 않는 지하철은?,객관식,숭실대입구,성신여대입구,고려대입구,잼라이브,고려대입구
최초의 마술이 시작된 나라는?,객관식,이집트,중국,인도,잼라이브,이집트
수학기호 [펙토리얼루트쎄타]를 순서대로 쓴것은?,객관식,θ √ !,! θ √,! √ θ,잼라이브,! √ θ
하급범원에서 받은 제일심 판결에 불복할 때 파기 변경을 직접 상급법원 합의부에 신청하는 일은?,객관식,상고,형고,항소,잼라이브,항소
낮 5시간 주 5일 근무 시급 10000원 주휴수당을 포함한 카페 알바 해나의 주급은?,객관식,250000원,300000원,350000원,잼라이브,300000원
가열 후 바로 먹을 수 있도록 알루미늄 포장에 싼 냉동식품을 일컫는 말은?,객관식,텔레비전 식품,라디오 식품,베이퍼 식품,잼라이브,텔레비전 식품
몸의 자세외 균형이나 운동 기능을 조절하는 뇌의 부위는?`,객관식,소뇌,간뇌,대뇌,잼라이브,소뇌
<모든 인간은 태어날 때부터 자유롭고존엄성과 권리에 있어서 평등하다.> 위의 내용이 담긴것은?,객관식,유엔 헌장 제1조,세계인권선언 제1조,대한민국 헌법 제1조,잼라이브,세계인권선언 제2조
통계청이 발표한 '2017년 신생아가 한명도 태어나지 않은 면지역'이 아닌 곳은?,객관식,인천 강화군 서도면,경기 파주시 진동면,전북 익산시 금마면,잼라이브,전북 익산시 금마면
속담 '주머니 털어 [] 안 나오는 사람 없다.' 빈칸에 들어갈 말은?,객관식,먼지,만물장어,마이쮸,잼라이브,먼지
커피 가루의 유용한 활용 방법과 거리가 먼 것은?,객관식,피부미용,탈취제 및 방향제,두통 완화,잼라이브,두통완화
한 개의 물분자는 수소와 산소가 각각 몇 개로 구성되어 있을까?,객관식,수소 1개 산소 1개,수소 2개 산소1개,수소 1개 산소2개,잼라이브,수소 2개 산소 1개
다음 중 식품의약품안전처 알레르기 유발 식품 표시 기준으로 분류되지 않는 것은?,객관식,오이 ,복숭아,굴,잼라이브,오이
태양의 본연의 색은 어떤 색깔에 가까울까?,객관식,흰색,빨간색,노란색,잼라이브,흰색
현재 우리나라 분말소화기의 법정 내용연수 기간은?,객관식,5년,10년,20년,잼라이브,10년
다음 중 외래어 표기가 알맞은 단어는?,객관식,카운설링,카운셀링,카운슬링,잼라이브,카운슬링
한국조폐공사에서 제작한 K팝스타 기념메달 1호 가수는?,객관식,EXO,H.O.T,방탄소년단,잼라이브,EXO
다음 중 '등푸른생선'이 아닌 것은?,객관식,정어리,갈치,전갱이,잼라이브,갈치
서울시 도봉구 쌍문동'을 배경으로 만들어진 작품이 아닌 것은?,객관식,아기공룡 둘리,고고70,응답하라 1988,잼라이브,고고70
프랑스 파리에 위치한 '콩코르드 광장'에서 '콩코르드'가 의미하는 것은?,객관식,화합,행복,장수,잼라이브,화합
1898년 영국의 종단 정책과 프랑스의 횡단정책이 충돌한 사건은?,객관식,파쇼다 사건,수에즈운하 분쟁,모로코 사건,잼라이브,파쇼다 사건
물리적.화학적 과정을 거쳐 물을 개끗하게 거르는 기계의 이름은?,객관식,주전자,정수기,우물,잼라이브,정수기
다음 중 만화 스폰지밥에 나오는 캐릭터가 아닌 것은?,객관식,뚱이,징징이,세일러문,잼라이브,세일러문
신조어 '엄근진'에 포함되지 않는 말은?,객관식,진솔하다,엄격하다,근엄하다,잼라이브,진솔하다
발표 밀가루 반죽을 탄두르에 넣어 잎사귀 모양으로 구워낸 인도의 빵은?,객관식,밀푀유,난,크루아상,잼라이브,난
풍물놀이에 관한 설명으로 거리가 먼 것은?,객관식,사물놀이로부터 파생 되었다,6가지 이상의 악기를 사용한다,농악'이라고도 불린다,잼라이브,사물놀이로부터 파생 되었다
파라의 3대 미술관이 아닌 곳은?,객관식,오르세 미술관,퐁피두 센터,반 고흐 미술관,잼라이브,반 고흐 미술관
방송이나 영화에서 인기를 끌었던 기존 작품을 근거로 새로운 이야기를 만들어낸 작품은 무엇일까?,객관식,스핀오프,프리퀄,시퀄,잼라이브,스핀오프
펭귄에 대한 설명으로 옳은 것은?,객관식,펭귄 털은 기름이 없이 매끈하다,새끼 양육은 무조건 암컷이 맡는다,아프리카에도 서식한다,잼라이브,아프리카에도 서식한다
남성들이 몸치장과 패션에 관심을 갖고 다채로운 경향을 보이는 현상을 일컫는 말은?,객관식,헤테로 혁명,공작새 guradu,유니섹스 혁명,잼라이브,공작새 혁명
원근법을 사용하여 그림을 그린 최초의 화가는?,객관식,마사초,미켈란젤로,라파엘로,잼라이브,마사초
다음 중 컴퓨터 프로그래밍 언어와 거리가 먼것은?,객관식,FORTRAN,COBOL,NTSC,잼라이브,NTSC
전화기 특허권을 같은 날에 신청했지만 벨보다 늦게 신청하여 특허권을 놓친 사람은?,객관식,안토니오 무치,엘리샤 그레이,필리프 라이스,잼라이브,엘리샤 그레이
에스파르토 노끈으로 밑창을 만든 여름용 캐주얼 신발은?,객관식,에스파듀,치즈 퐁듀,골든 듀,잼라이브,에스파듀
나폴레옹 전쟁 당시 널리 쓰이던 펜으로 알려진 이것은??,객관식,사인펜,깃털펜,빨간펜,잼라이브,깃털펜
닭의 알'이라는 뜻에서 만들어진 순우리말 단어는?,객관식,달걀,계란,후라이,잼라이브,달걀
슈퍼 마리어의 마리오는 [](으)로 벽돌을 깬다.,객관식,코,머리,주먹,잼라이브,주먹
색 자체가 갖는 고유의 특성을 말하는 '색상'에서 '상'은?,객관식,詳(자세할 상),相(서로 상),狀(형상 상),잼라이브,相(서로 상)
2018년 작년 국보로 승격된 이것은?,객관식,이제 개국공신교서,이광악 선무공신교서,심대 호성공신교서,잼라이브,이제 개국공신교서
국내 다이소 오프라인 매장에서는 []이하의 제품만을 판매한다.,객관식,3000원,5000원,10000원,잼라이브,5000원
여성 최초로 노벨 문학상을 받은 작가의 국적은?,객관식,미국,프랑스,스웨덴,잼라이브,스웨덴
북한에서 김일성 직계 가족을 일컫는 말은?,객관식,천하혈통,인민혈통,백두혈통,잼라이브,백두혈통
맥도날드 시그니처 메뉴 '빅맥'은 누가 발명했을가?,객관식,창업주의 아들,체인점 점주,공모전에서 공모한 초등학생,잼라이브,체인점 점주
