content,category,example1,example2,example3,source,ans
뒤뜰 vs 뒷뜰,객관식,뒤뜰,뒷뜰,빈칸,우리말겨루기- 753회,뒤뜰
함께 하다 vs 함께하다,객관식,함께 하다,함께하다,빈칸,우리말겨루기- 692회,함께하다
새털같이 vs 쇠털같이,객관식,새털같이,쇠털같이,빈칸,우리말겨루기- 692회,쇠털같이
하루 걸러 vs 하루걸러,객관식,하루 걸러,하루걸러,빈칸,우리말겨루기- 737회,하루걸러
어설버설 vs 어살버살,객관식,어설버설,어살버살,빈칸,우리말겨루기- 737회,어살버살
옛스럽다 vs 예스럽다,객관식,옛스럽다,예스럽다,빈칸,우리말겨루기- 736회,예스럽다
허탕치다 vs 허탕 치다,객관식,허탕치다,허탕 치다,빈칸,우리말겨루기- 736회,허탕 치다
휘양찬란 vs 휘황찬란,객관식,휘양찬란,휘황찬란,빈칸,우리말겨루기- 735회,휘황찬란
싸그리 vs 깡그리,객관식,싸그리,깡그리,빈칸,우리말겨루기- 735회,깡그리
게양대 vs 계양대,객관식,게양대,게양대,빈칸,우리말겨루기- 734회,게양대
희노애락  vs 희로애락,객관식,희노애략,희로애락,빈칸,우리말겨루기- 734회,희로애락
사흘날 vs 사흗날,객관식,사흘날,사흗날,빈칸,우리말겨루기- 732회,사흗날
어물쩡 vs 어물쩍,객관식,어물쩡,어물쩍,빈칸,우리말겨루기- 731회,어물쩍
핼쓱하다 vs 핼쑥하다,객관식,핼쓱하다,핼쑥하다,빈칸,우리말겨루기- 730회,핼쑥하다
퇴짜놓다 vs 헛방놓다,객관식,퇴짜놓다,헛방놓다,빈칸,우리말겨루기- 729회,헛방놓다
삼세번 씩 vs 삼 세 번씩 vs 삼세번씩,객관식,삼세번 씩,삼 세 번씩,삼세번씩,우리말겨루기- 728회,삼세번씩
삭둑 vs 싹둑,객관식,삭둑,싹뚝,빈칸,우리말겨루기- 726회,삭둑
맛들이다 vs 맛 들이다,객관식,맛들이다,맛 들이다,빈칸,우리말겨루기- 725회,맛 들이다
불문률 vs 불문율,객관식,불문률,불문율,빈칸,우리말겨루기- 724회,불문율
께름직 vs 께름칙,객관식,께름직,께름칙,빈칸,우리말겨루기- 724회,께름칙
뜨뜻미지근 vs 뜻뜨미지근,객관식,뜨뜻미지근,뜻뜨미지근,빈칸,우리말겨루기- 722회,뜨뜻미지근
십년지기 vs 십 년 지기,객관식,십년지기,십 년 지기,빈칸,우리말겨루기- 721회,십년지기
쑥맥 vs 숙맥,객관식,쑥맥,숙맥,빈칸,우리말겨루기- 720회,숙맥
등살 vs 등쌀,객관식,등살,등쌀,빈칸,우리말겨루기- 720회,등쌀
고개방아 vs 고갯방아,객관식,고개방아,고갯방아,빈칸,우리말겨루기- 719회,고갯방아
두루말이 vs 두루마리,객관식,두루말이,두루마리,빈칸,우리말겨루기- 719회,두루마리
행가레 vs 헹가래,객관식,행가레,헹가래,빈칸,우리말겨루기- 718회,헹가래
잘할 뿐더러 vs 잘할뿐더러,객관식,잘할 뿐더러,잘할뿐더러,빈칸,우리말겨루기- 718회,잘할뿐더러
후르륵 vs 후루룩,객관식,후르륵,후루룩,빈칸,우리말겨루기- 717회,후루룩
몇 십만 명 vs 몇십만 명,객관식,몇 십만 명,몇십만 명,빈칸,우리말겨루기- 717회,몇십만 명
헛개비 vs 허깨비,객관식,헛개비,허깨비,빈칸,우리말겨루기- 715회,허깨비
