content,category,example1,example2,example3,source,ans
다음 중 이빨이 가장 많은 것은?,객관식,상어,악어,달팽이,런닝맨,달팽이
 심부름 가서 오지 않는 이는 [함흥차사]라고 한다. 볼일로 오래도록 돌아로지 않는 이를 가르키는 말은?,객관식,강원도 포수냐,평안도 포수냐,함경도 포수냐,liiv mate 일반상식 퀴즈,강원도 포수냐
사람과 원숭이는 이것이 결핍되면 괴혈병을 일으키는데요. 괴혈병에 특효가 있는 물질로 수용성 비타민의 하나입니다. 비타민 C라고도 하는 이것은 무엇일까요?,객관식,젖산,아세트산,아스코르브산,장학퀴즈,아스코르브산
"다음은 황순원의 소설<소나기>의 한 부분입니다. 괄호 안에 들어갈 말은 무엇일까요? ""저쪽 갈밭머리에서 갈꽃이 한 (            )움직였다.",객관식,뼘,움큼,짐,장학퀴즈,움큼
법인의 실제 소득의 상당 부분에 대해 과세하지 않는 국가 또는 지역으로 세제상에서 우대를 받을 뿐만 아니라 외환거래 등 금융거래의 전반적인 부분에서 철저하게 비밀이 보장되는 것은 무엇일까요?,객관식,안츠,조세피난처,무세,장학퀴즈,조세피난처
살충제에는 이것의 분해를 방해하여 부교감신경을 흥분시키는 물질이 포함돼 있습니다. 분해되지 않은 이 물질은 부교감신경을 자극해 두통 소화 불량 등의 증상을 나타나게 하는데요. 혈압을 낮추는 역할을 하는 신경전달물질인 이것을 무엇일까요?,객관식,아드레날린,바소프레신,아세틸콜린,장학퀴즈,아세틸콜린
어떤 단체의 회원들이 친목 도모를 위해 모이는 것을 흔히 '엠티'또는 '단합 대회'라고 부릅니다. 이와 비슷한 뜻을 가진 이것은 놀이나 잔치 그 밖의 일로 여러 사람이 모이는 일'을 뜻하는 순우리말입니다. 이것은 무엇일까요?,객관식,모꼬지,희나리,애오라지,장학퀴즈,모꼬지 
1400여 년의 역사를 지니고 있는 이곳은 강원도 동해시 두타산에 있는 사찰입니다. 1905년 삼척지방 의병들의 거점으로 이용됐으며 중요무형 문화재인 '국행수륙대재'가 행해지기도 하는 이곳은 어디일까요?,객관식,용연사,낙산사,삼화사,장학퀴즈,삼화사
야행성 동물의 눈에 많이 분포하는 이것은 눈의 망막에 위치한 시세포 중 하나입니다. 빛에 매우 민감해 야간에도 명암과 물체의 형태는 감지하지만 색깔은 식별하지 못하는데요. 맏개 모양의 시세포인 이것은 무엇일까요?,객관식,간상세포,원추세포,맹점,장학퀴즈,간상세포
음악의 신동;이라고 불리는 모차르트는 35세의 짧은 생애 동안 여러 오페라를 작곡했습니다. 다음 중 모차르트가 작곡한 오페라가 아닌 것은 무엇일까요?,객관식,마술 피리,돈 조반니,라 트라비아타,장학퀴즈,라 트라비아타
도심지의 땅값이 급등하고 각종 공해로 인해 주민들이 거주지를 교외 지역으로 옮기는 형상을 말합니다. 공공 기관이나 상업 시설만 남은 도심의 모양이 이것과 비슷하다고 하여 이름 붙여졌는데요. 이 도시 현상은 무엇일까요?,객관식,땅콩 현상,바나나 현상,도넛 현상,장학퀴즈,도넛 현상
무색의 비휘발성 액체인 이것은 강산성의 화합물로 흡수성이 강해 상대 물잘의 수분을 빼앗는 탈수 능력을 지니고 있습니다. 건조제 탈수제에 사용됙도 하는 이것은 무엇일까요?,객관식,황산,아세트산,염산,장학퀴즈,황산
고전 시가 작품<정과정>은 역모에 가담하였다는 죄명으로 귀양을 가게 된 작가가 결백을 주장하고 있는 작품입니다. 자신의 억울함을 호소하며 '모두 뭇사람들의 모함'이라는 내용이 등장하는데요. 이처럼 '거짓으로 꾸며 남을 헐뜯어 윗사람에게 고하여 바친다'는 뜻의 단어는 무엇일까요?,객관식,조언,참언,형언,장학퀴즈,참언
영동 지방의 관광 중심지 강릉은 역사와 문화가 깃든 도시로 유독 훌룡한 위인들을 많이 배출했습니다. 다음 중 강릉 출신의 위인이 아닌 사람은 누구일까요?,객관식,이황 ,허균,심사임당,장학퀴즈,이황
이것은 소셜 네트워크 서비스를 통하여 이루어지는 전자상거래를 말합니다. 일정 수 이상의 구매자가 모일 경우 파격적인 할인가로 상품을 제공하는 판매 방식인 이것은 무엇일까요?,객관식,오픈 마켓,소셜커머스,포 스퀘어,장학퀴즈,소셜커머스
대통령을 보좌하고 대통령의 부재 시 권한을 대행하는 행정부의 2인자로 국회의 동의를 얻어 대통령이 임명하는 이 지위는 무엇일까요?,객관식,차관,장관,국무총리,장학퀴즈,국무 총리
유네스코에서는 인류의 소중한 문화 및 자연을 보호하기 위해 세계 유산을 지정하고 있습니다. 우리나라에는 문화유산 12건 자연 유산 1건을 포함한 총 13개의 세계유산이 있는데요. 다음 중 우리나라의 세계 자연 유산은 무엇일까요?,객관식,창녕 우포늪,제주 화산섬과 용암 동굴,순천만 습지와 갈대밭,장학퀴즈,제주 화산섬과 용암 동굴
거의 모든 화학물질에 반응하지 않을 정도로 안정성이 뛰어난 이것은 수영복의 원단으로도 사용되는데요. 시드니 올림픽에서 선수들의 세계 기록 갱신에 큰 역할을 하기도 했습니다.  이것은 무엇일까요?,객관식,폴리에틸렌,나일론,테플론,장학퀴즈,테플론
